,accuracy,phone,layer,strat,voicing,articulation,model,language,phone_type
1,0.8461538461538461,a,0,1,other,other,wav2vec-small,hindi,
2,0.38461538461538464,aː,0,1,other,other,wav2vec-small,hindi,
3,0.21428571428571427,b,0,1,voiced_unaspirated,other,wav2vec-small,hindi,
4,0.5384615384615384,b̤,0,1,voiced_aspirated,other,wav2vec-small,hindi,
5,0.2857142857142857,d,0,1,voiced_unaspirated,dental,wav2vec-small,hindi,
6,0.5384615384615384,d̤,0,1,voiced_aspirated,dental,wav2vec-small,hindi,
7,0.6153846153846154,d͡ʒ,0,1,voiced_unaspirated,other,wav2vec-small,hindi,
8,0.5,d͡ʒ̤,0,1,voiced_aspirated,other,wav2vec-small,hindi,
9,0.38461538461538464,e,0,1,other,other,wav2vec-small,hindi,
10,0.5714285714285714,f,0,1,other,other,wav2vec-small,hindi,
11,0.0,h,0,1,other,other,wav2vec-small,hindi,
12,0.23076923076923078,i,0,1,other,other,wav2vec-small,hindi,
13,0.38461538461538464,iː,0,1,other,other,wav2vec-small,hindi,
14,0.6428571428571429,j,0,1,other,other,wav2vec-small,hindi,
15,0.3076923076923077,k,0,1,voiceless_unaspirated,other,wav2vec-small,hindi,
16,0.5,kʰ,0,1,voiceless_aspirated,other,wav2vec-small,hindi,
17,0.5384615384615384,l,0,1,other,dental,wav2vec-small,hindi,
18,0.7692307692307693,m,0,1,other,other,wav2vec-small,hindi,
19,0.6428571428571429,n,0,1,other,dental,wav2vec-small,hindi,
20,0.23076923076923078,o,0,1,other,other,wav2vec-small,hindi,
21,0.35714285714285715,p,0,1,voiceless_unaspirated,other,wav2vec-small,hindi,
22,0.46153846153846156,pʰ,0,1,voiceless_aspirated,other,wav2vec-small,hindi,
23,0.5,q,0,1,other,other,wav2vec-small,hindi,
24,0.46153846153846156,r,0,1,other,dental,wav2vec-small,hindi,
25,0.6428571428571429,r̩,0,1,other,dental,wav2vec-small,hindi,
26,0.5384615384615384,s,0,1,other,dental,wav2vec-small,hindi,
27,0.9285714285714286,spn,0,1,other,other,wav2vec-small,hindi,
28,0.3076923076923077,t,0,1,voiceless_unaspirated,dental,wav2vec-small,hindi,
29,0.3076923076923077,tʰ,0,1,voiceless_aspirated,dental,wav2vec-small,hindi,
30,0.42857142857142855,t͡ʃ,0,1,voiceless_unaspirated,other,wav2vec-small,hindi,
31,0.5384615384615384,t͡ʃʰ,0,1,voiceless_aspirated,other,wav2vec-small,hindi,
32,0.2857142857142857,u,0,1,other,other,wav2vec-small,hindi,
33,0.7692307692307693,uː,0,1,other,other,wav2vec-small,hindi,
34,0.46153846153846156,v,0,1,other,other,wav2vec-small,hindi,
35,0.1111111111111111,w,0,1,other,other,wav2vec-small,hindi,
36,0.16666666666666666,x,0,1,other,other,wav2vec-small,hindi,
37,0.3076923076923077,z,0,1,other,dental,wav2vec-small,hindi,
38,0.0,ã,0,1,other,other,wav2vec-small,hindi,
39,0.7142857142857143,ãː,0,1,other,other,wav2vec-small,hindi,
40,0.38461538461538464,æ,0,1,other,other,wav2vec-small,hindi,
41,0.3076923076923077,æː,0,1,other,other,wav2vec-small,hindi,
42,0.42857142857142855,ŋ,0,1,other,other,wav2vec-small,hindi,
43,0.0,ũ,0,1,other,other,wav2vec-small,hindi,
44,0.75,ũː,0,1,other,other,wav2vec-small,hindi,
45,0.5,ɑ,0,1,other,other,wav2vec-small,hindi,
46,0.3076923076923077,ɔ,0,1,other,other,wav2vec-small,hindi,
47,0.38461538461538464,ɔː,0,1,other,other,wav2vec-small,hindi,
48,0.5,ɖ,0,1,voiced_unaspirated,retroflex,wav2vec-small,hindi,
49,0.3076923076923077,ɖ̤,0,1,voiced_aspirated,retroflex,wav2vec-small,hindi,
50,0.38461538461538464,ə,0,1,other,other,wav2vec-small,hindi,
51,0.0,ə̃,0,1,other,other,wav2vec-small,hindi,
52,0.09090909090909091,ɛ,0,1,other,other,wav2vec-small,hindi,
53,0.46153846153846156,ɡ,0,1,voiced_unaspirated,other,wav2vec-small,hindi,
54,0.46153846153846156,ɡ̤,0,1,voiced_aspirated,other,wav2vec-small,hindi,
55,0.3333333333333333,ɣ,0,1,other,other,wav2vec-small,hindi,
56,0.6153846153846154,ɦ,0,1,other,other,wav2vec-small,hindi,
